key,english,translation,status
"months","Jan | Feb | Mar | Apr | May | Jun | Jul | Aug | Sep | Oct | Nov | Dec","Jan | Feb | Mac | Apr | Mei | Jun | Jul | Ago | Sep | Okt | Nov | Des","machine"
"all_year","all year","mwaka mzima","machine"
"this_area","this area","eneo hili","machine"
"el_nino","El Niño","El Niño","machine"
"la_nina","La Niña","La Niña","machine"
"neutral","neutral conditions","hali ya kawaida","machine"
"rain_much_wetter","much more rain than usual","mvua nyingi zaidi kuliko kawaida","machine"
"rain_wetter","more rain than usual","mvua zaidi kuliko kawaida","machine"
"rain_drier","less rain than usual","mvua kidogo kuliko kawaida","machine"
"rain_much_drier","much less rain than usual","mvua kidogo sana kuliko kawaida","machine"
"rain_near_normal","rain close to normal","mvua karibu na kawaida","machine"
"rain_mixed","a mixed rain signal","ishara ya mvua iliyochanganyika","machine"
"rain_drier__north_and_east_","less rain than usual in the north and east","mvua kidogo kuliko kawaida kaskazini na mashariki","machine"
"rain_wetter__north_and_east_","more rain than usual in the north and east","mvua zaidi kuliko kawaida kaskazini na mashariki","machine"
"rain_drier__south_and_west_","less rain than usual in the south and west","mvua kidogo kuliko kawaida kusini na magharibi","machine"
"temp_warmer","warmer than usual","joto zaidi kuliko kawaida","machine"
"temp_cooler","cooler than usual","baridi zaidi kuliko kawaida","machine"
"temp_near_normal","temperatures close to normal","halijoto karibu na kawaida","machine"
"temp_warmer__winter___cooler__summer_","a milder winter and cooler summer","msimu wa baridi usio na baridi kali na msimu wa joto wenye joto kidogo","machine"
"temp_cooler__winter___warmer__summer_","a colder winter and hotter summer","msimu wa baridi wenye baridi kali zaidi na msimu wa joto wenye joto kali zaidi","machine"
"conf_likely","likely","yenye uwezekano mkubwa","machine"
"conf_leaning","leaning that way","yenye uwezekano wa kiasi","machine"
"conf_uncertain","uncertain","isiyo na uhakika","machine"
"headline","{name}: {rain} is {conf} in {season}.","{name}: {rain} {conf} katika {season}.","machine"
"headline_neutral","{name}: no El Niño or La Niña is active right now.","{name}: kwa sasa hakuna El Niño wala La Niña.","machine"
"neutral_explain","Seasonal rain here will depend on other factors. Check back monthly; this page updates when conditions change.","Mvua ya msimu hapa itategemea mambo mengine. Rudi kuangalia kila mwezi; ukurasa huu hubadilika hali zikibadilika.","machine"
"timing_now","That season is happening now ({season}).","Msimu huo unaendelea sasa ({season}).","machine"
"timing_coming","That season starts in about {n} months ({season}).","Msimu huo huanza baada ya takriban miezi {n} ({season}).","machine"
"timing_passed","That season has passed for this event. The next one is {season}; by then the event may have faded.","Msimu huo umeshapita kwa tukio hili. Msimu unaofuata ni {season}; kufikia wakati huo tukio linaweza kuwa limepungua.","machine"
"expect","During {phase}, {region} usually sees {rain} and {temp}.","Wakati wa {phase}, {region} kwa kawaida hupata {rain} na {temp}.","machine"
"agreement_agree","The local rain record agrees with the known pattern, so this outlook is {conf}.","Rekodi ya mvua ya hapa inakubaliana na mtindo unaojulikana, kwa hiyo taarifa hii ni {conf}.","machine"
"agreement_disagree","The local rain record does not clearly agree with the known pattern, so treat this as {conf}.","Rekodi ya mvua ya hapa haikubaliani wazi na mtindo unaojulikana, kwa hiyo chukulia taarifa hii kuwa {conf}.","machine"
"agreement_weak","Past events here were mixed, so treat this as {conf}.","Matukio ya zamani hapa yalikuwa mchanganyiko, kwa hiyo chukulia taarifa hii kuwa {conf}.","machine"
"agreement_none","There is no reliable local rain record for this season, so treat this as {conf}.","Hakuna rekodi ya kuaminika ya mvua ya hapa kwa msimu huu, kwa hiyo chukulia kuwa taarifa hii {conf}.","machine"
"history","In the last {n} strong {phase} events, {season} rain here averaged {pct}. It was wetter than normal in {wet}% of them.","Katika matukio {n} makubwa ya {phase} yaliyopita, mvua ya {season} hapa kwa wastani ilikuwa {pct}. Mvua ilikuwa nyingi kuliko kawaida katika {wet}% ya matukio hayo.","machine"
"history_recent","Most recent events: {recent}.","Matukio ya karibuni zaidi: {recent}.","machine"
"pct_above","{n}% above normal","{n}% juu ya kawaida","machine"
"pct_below","{n}% below normal","{n}% chini ya kawaida","machine"
"near_normal","close to normal","karibu na kawaida","machine"
"no_data","no data","hakuna takwimu","machine"
"status_line","Global status: {status} (issued {issued}).","Hali ya dunia: {status} (imetolewa {issued}).","machine"
"steps_title","What to do now","Cha kufanya sasa","machine"
"defer","For warnings, follow {service}. This briefing is a seasonal outlook, not a warning.","Ili kupata tahadhari, fuata {service}. Taarifa hii ni matarajio ya msimu, si tahadhari.","machine"
"ui.app_name","ENSO Ready","ENSO Ready","machine"
"ui.tagline","What this El Niño means for you, and what to do about it.","El Niño hii ina maana gani kwako, na ufanye nini.","machine"
"ui.search_label","Where do you live?","Unaishi wapi?","machine"
"ui.search_placeholder","Type a town or city","Andika jina la mji","machine"
"ui.use_location","Use my location","Tumia mahali nilipo","machine"
"ui.see_briefing","See my briefing","Ona taarifa yangu","machine"
"ui.livelihood_q","What best describes you?","Ipi inakuelezea vizuri zaidi?","machine"
"ui.livelihood_farmer","I farm or keep animals","Ninalima au ninafuga wanyama","machine"
"ui.livelihood_coastal","I live near the coast or a river","Ninaishi karibu na bahari au mto","machine"
"ui.livelihood_urban","I live in a town or city","Ninaishi mjini","machine"
"ui.livelihood_all","Just show me everything","Nionyeshe kila kitu","machine"
"ui.tell_more","Tell me more","Nieleze zaidi","machine"
"ui.show_less","Show less","Onyesha kidogo","machine"
"ui.step_of","Step {i} of {n}","Hatua {i} kati ya {n}","machine"
"ui.why_matters","Why this matters","Kwa nini hili ni muhimu","machine"
"ui.done","Done","Imekamilika","machine"
"ui.next_step","Next step","Hatua inayofuata","machine"
"ui.show_all_steps","Show all steps","Onyesha hatua zote","machine"
"ui.minutes","about {n} minutes","dakika {n} hivi","machine"
"ui.what_now","What should I do right now?","Nifanye nini sasa hivi?","machine"
"ui.read_aloud","Read aloud","Soma kwa sauti","machine"
"ui.radio_script","30-second radio script","Maandishi ya redio ya sekunde 30","machine"
"ui.sms_text","SMS version","Toleo la SMS","machine"
"ui.sources","Sources","Vyanzo","machine"
"ui.updated","Data updated {date}","Taarifa zilisasishwa {date}","machine"
"ui.offline_note","You are offline. Showing your last briefing from {date}.","Hauko mtandaoni. Tunakuonyesha muhtasari wako wa mwisho wa {date}.","machine"
"ui.mt_banner","Machine-translated. Tap to suggest a fix.","Imetafsiriwa na mashine. Gusa ili kupendekeza masahihisho.","machine"
"ui.settings","Settings","Mipangilio","machine"
"ui.text_size","Text size","Ukubwa wa maandishi","machine"
"ui.high_contrast","High contrast","Rangi zenye tofauti kubwa","machine"
"ui.reduce_motion","Reduce motion","Punguza mwendo","machine"
"ui.easy_read","Easy Read","Usomaji Rahisi","machine"
"ui.methodology","How this works","Hii inafanya kazi vipi","machine"
"ui.back","Back","Rudi","machine"
"ui.change_place","Change place","Badilisha mahali","machine"
"ui.no_results","No match. Try a bigger town nearby.","Hakuna mji unaolingana. Jaribu mji mkubwa ulio karibu.","machine"
"ui.region_label","Region","Eneo","machine"
"ui.share","Share this briefing","Sambaza taarifa hii","machine"
"ui.no_js","Search needs JavaScript. Without it, pick your country below.","Utafutaji unahitaji JavaScript. Bila hiyo, chagua nchi yako hapa chini.","machine"
"ui.forecast_unavailable","Seasonal model forecast not available right now (offline or busy). The outlook above uses the known pattern and past events.","Utabiri wa msimu kutoka kwenye mfumo wa kompyuta haupatikani sasa (mfumo hauko mtandaoni au una shughuli nyingi). Taarifa iliyo hapo juu inatumia mwenendo unaojulikana na matukio ya zamani.","machine"
"ui.data_note","Data: {list}.","Taarifa: {list}.","machine"
"ui.near","near {name}","karibu na {name}","machine"
"ui.pick_map","Pick on a map","Chagua kwenye ramani","machine"
"ui.map_hint","Tap your location on the map. Zoom in for villages.","Gusa mahali ulipo kwenye ramani. Kuza ili kuona vijiji.","machine"
"ui.skip","Skip to main content","Rukia hadi maudhui makuu","machine"
"ui.dyslexia","Dyslexia-friendly spacing","Nafasi zinazorahisisha kusoma","machine"
"ui.steps_shortcut_hint","Jumps to your first step.","Inakupeleka kwenye hatua yako ya kwanza.","machine"
"ui.loading","Getting your briefing…","Tunaleta muhtasari wako…","machine"
"ui.error_title","We could not load your briefing.","Hatukuweza kuleta muhtasari wako.","machine"
"ui.error_body","Check your connection and try again. Your last briefing, if you had one, is kept on this phone.","Angalia mtandao wako, kisha jaribu tena. Muhtasari wako wa mwisho, kama ulikuwa nao, umehifadhiwa kwenye simu hii.","machine"
"ui.retry","Try again","Jaribu tena","machine"
"timing_coming_one","That season starts next month ({season}).","Msimu huo unaanza mwezi ujao ({season}).","machine"
"hazards.FL","flooding","mafuriko","machine"
"hazards.FLR","river flooding","mafuriko ya mito","machine"
"hazards.FF","flash floods","mafuriko ya ghafla","machine"
"hazards.LS","landslides","maporomoko ya ardhi","machine"
"hazards.DR","drought","ukame","machine"
"hazards.WS","water shortage","uhaba wa maji","machine"
"hazards.WF","fires","moto","machine"
"hazards.HZ","smoke haze","ukungu wa moshi","machine"
"hazards.HT","extreme heat","joto kali","machine"
"hazards.EP","disease outbreaks","milipuko ya magonjwa","machine"
"hazards.CH","cholera","kipindupindu","machine"
"hazards.RVF","Rift Valley fever","homa ya Bonde la Ufa","machine"
"hazards.CS","crop stress","mazao kudhoofika","machine"
"hazards.CF","crop failure","mazao kushindwa kustawi","machine"
