key,english,translation,status
"months","Jan | Feb | Mar | Apr | May | Jun | Jul | Aug | Sep | Oct | Nov | Dec","জানু | ফেব | মার্চ | এপ্রি | মে | জুন | জুলা | আগ | সেপ্ট | অক্টো | নভে | ডিসে","machine"
"all_year","all year","সারা বছর","machine"
"this_area","this area","এই এলাকা","machine"
"el_nino","El Niño","এল নিনো","machine"
"la_nina","La Niña","লা নিনা","machine"
"neutral","neutral conditions","নিরপেক্ষ অবস্থা","machine"
"rain_much_wetter","much more rain than usual","স্বাভাবিকের চেয়ে অনেক বেশি বৃষ্টি","machine"
"rain_wetter","more rain than usual","স্বাভাবিকের চেয়ে বেশি বৃষ্টি","machine"
"rain_drier","less rain than usual","স্বাভাবিকের চেয়ে কম বৃষ্টি","machine"
"rain_much_drier","much less rain than usual","স্বাভাবিকের চেয়ে অনেক কম বৃষ্টি","machine"
"rain_near_normal","rain close to normal","প্রায় স্বাভাবিক বৃষ্টি","machine"
"rain_mixed","a mixed rain signal","বৃষ্টির মিশ্র ইঙ্গিত","machine"
"rain_drier__north_and_east_","less rain than usual in the north and east","উত্তর ও পূর্ব দিকে স্বাভাবিকের চেয়ে কম বৃষ্টি","machine"
"rain_wetter__north_and_east_","more rain than usual in the north and east","উত্তর ও পূর্ব দিকে স্বাভাবিকের চেয়ে বেশি বৃষ্টি","machine"
"rain_drier__south_and_west_","less rain than usual in the south and west","দক্ষিণ ও পশ্চিম দিকে স্বাভাবিকের চেয়ে কম বৃষ্টি","machine"
"temp_warmer","warmer than usual","স্বাভাবিকের চেয়ে বেশি গরম","machine"
"temp_cooler","cooler than usual","স্বাভাবিকের চেয়ে বেশি ঠান্ডা","machine"
"temp_near_normal","temperatures close to normal","প্রায় স্বাভাবিক তাপমাত্রা","machine"
"temp_warmer__winter___cooler__summer_","a milder winter and cooler summer","কম ঠান্ডা শীতকাল ও কম গরম গ্রীষ্মকাল","machine"
"temp_cooler__winter___warmer__summer_","a colder winter and hotter summer","বেশি ঠান্ডা শীতকাল ও বেশি গরম গ্রীষ্মকাল","machine"
"conf_likely","likely","সম্ভাবনা বেশি","machine"
"conf_leaning","leaning that way","ঝোঁক এই দিকে","machine"
"conf_uncertain","uncertain","অনিশ্চিত","machine"
"headline","{name}: {rain} is {conf} in {season}.","{name}: {season}-এ {rain} — {conf}।","machine"
"headline_neutral","{name}: no El Niño or La Niña is active right now.","{name}: এখন এল নিনো বা লা নিনা কোনোটিই চলছে না।","machine"
"neutral_explain","Seasonal rain here will depend on other factors. Check back monthly; this page updates when conditions change.","এখানে মৌসুমের বৃষ্টি অন্য নানা কারণের উপর নির্ভর করবে। প্রতি মাসে আবার দেখে নিন; অবস্থা বদলালে এই পাতা নতুন তথ্য দেখাবে।","machine"
"timing_now","That season is happening now ({season}).","সেই মৌসুম এখন চলছে ({season})।","machine"
"timing_coming","That season starts in about {n} months ({season}).","সেই মৌসুম প্রায় {n} মাস পরে শুরু হবে ({season})।","machine"
"timing_passed","That season has passed for this event. The next one is {season}; by then the event may have faded.","এই ঘটনার জন্য সেই মৌসুম পার হয়ে গেছে। পরের মৌসুম {season}; ততদিনে ঘটনাটি দুর্বল হয়ে যেতে পারে।","machine"
"expect","During {phase}, {region} usually sees {rain} and {temp}.","{phase} চলাকালে {region}-এ সাধারণত {rain} এবং {temp} দেখা যায়।","machine"
"agreement_agree","The local rain record agrees with the known pattern, so this outlook is {conf}.","স্থানীয় বৃষ্টির পুরোনো হিসাব জানা ধরনের সঙ্গে মেলে। তাই এই পূর্বাভাসের মাত্রা: {conf}।","machine"
"agreement_disagree","The local rain record does not clearly agree with the known pattern, so treat this as {conf}.","স্থানীয় বৃষ্টির পুরোনো হিসাব জানা ধরনের সঙ্গে স্পষ্টভাবে মেলে না। তাই এটিকে এভাবে ধরুন: {conf}।","machine"
"agreement_weak","Past events here were mixed, so treat this as {conf}.","এখানে আগের ঘটনাগুলোর ফল মিশ্র ছিল। তাই এটিকে এভাবে ধরুন: {conf}।","machine"
"agreement_none","There is no reliable local rain record for this season, so treat this as {conf}.","এই মৌসুমের জন্য এখানে নির্ভরযোগ্য বৃষ্টির পুরোনো হিসাব নেই। তাই এটিকে এভাবে ধরুন: {conf}।","machine"
"history","In the last {n} strong {phase} events, {season} rain here averaged {pct}. It was wetter than normal in {wet}% of them.","শেষ {n}টি শক্তিশালী {phase} ঘটনায় এখানে {season} মৌসুমের বৃষ্টি ছিল গড়ে {pct}। এর মধ্যে {wet}% ক্ষেত্রে বৃষ্টি স্বাভাবিকের চেয়ে বেশি ছিল।","machine"
"history_recent","Most recent events: {recent}.","সবচেয়ে সাম্প্রতিক ঘটনাগুলো: {recent}।","machine"
"pct_above","{n}% above normal","স্বাভাবিকের চেয়ে {n}% বেশি","machine"
"pct_below","{n}% below normal","স্বাভাবিকের চেয়ে {n}% কম","machine"
"near_normal","close to normal","প্রায় স্বাভাবিক","machine"
"no_data","no data","তথ্য নেই","machine"
