key,english,translation,status
"months","Jan | Feb | Mar | Apr | May | Jun | Jul | Aug | Sep | Oct | Nov | Dec","Jan | Feb | Mar | Apr | Mei | Jun | Jul | Agu | Sep | Okt | Nov | Des","machine"
"all_year","all year","sepanjang tahun","machine"
"this_area","this area","daerah ini","machine"
"el_nino","El Niño","El Niño","machine"
"la_nina","La Niña","La Niña","machine"
"neutral","neutral conditions","kondisi netral","machine"
"rain_much_wetter","much more rain than usual","hujan jauh lebih banyak dari biasanya","machine"
"rain_wetter","more rain than usual","hujan lebih banyak dari biasanya","machine"
"rain_drier","less rain than usual","hujan lebih sedikit dari biasanya","machine"
"rain_much_drier","much less rain than usual","hujan jauh lebih sedikit dari biasanya","machine"
"rain_near_normal","rain close to normal","hujan mendekati normal","machine"
"rain_mixed","a mixed rain signal","hujan yang tidak menentu","machine"
"rain_drier__north_and_east_","less rain than usual in the north and east","hujan lebih sedikit dari biasanya di utara dan timur","machine"
"rain_wetter__north_and_east_","more rain than usual in the north and east","hujan lebih banyak dari biasanya di utara dan timur","machine"
"rain_drier__south_and_west_","less rain than usual in the south and west","hujan lebih sedikit dari biasanya di selatan dan barat","machine"
"temp_warmer","warmer than usual","lebih panas dari biasanya","machine"
"temp_cooler","cooler than usual","lebih dingin dari biasanya","machine"
"temp_near_normal","temperatures close to normal","suhu mendekati normal","machine"
"temp_warmer__winter___cooler__summer_","a milder winter and cooler summer","musim dingin yang lebih hangat dan musim panas yang lebih sejuk","machine"
"temp_cooler__winter___warmer__summer_","a colder winter and hotter summer","musim dingin yang lebih dingin dan musim panas yang lebih panas","machine"
"conf_likely","likely","kemungkinan besar","machine"
"conf_leaning","leaning that way","cenderung terjadi","machine"
"conf_uncertain","uncertain","belum pasti terjadi","machine"
"headline","{name}: {rain} is {conf} in {season}.","{name}: {conf} {rain} pada {season}.","machine"
"headline_neutral","{name}: no El Niño or La Niña is active right now.","{name}: saat ini tidak ada El Niño maupun La Niña.","machine"
"neutral_explain","Seasonal rain here will depend on other factors. Check back monthly; this page updates when conditions change.","Hujan musiman di sini akan bergantung pada hal-hal lain. Periksa lagi setiap bulan; halaman ini diperbarui saat keadaan berubah.","machine"
"timing_now","That season is happening now ({season}).","Musim itu sedang berlangsung sekarang ({season}).","machine"
"timing_coming","That season starts in about {n} months ({season}).","Musim itu mulai sekitar {n} bulan lagi ({season}).","machine"
"timing_passed","That season has passed for this event. The next one is {season}; by then the event may have faded.","Musim itu sudah lewat untuk kejadian ini. Musim berikutnya adalah {season}; saat itu kejadian ini mungkin sudah melemah.","machine"
"expect","During {phase}, {region} usually sees {rain} and {temp}.","Saat {phase}, {region} biasanya mengalami {rain} dan {temp}.","machine"
"agreement_agree","The local rain record agrees with the known pattern, so this outlook is {conf}.","Catatan hujan setempat cocok dengan pola yang sudah dikenal. Jadi, perkiraan ini {conf}.","machine"
"agreement_disagree","The local rain record does not clearly agree with the known pattern, so treat this as {conf}.","Catatan hujan setempat tidak sepenuhnya cocok dengan pola yang sudah dikenal, jadi anggap perkiraan ini {conf}.","machine"
"agreement_weak","Past events here were mixed, so treat this as {conf}.","Kejadian di masa lalu di sini hasilnya tidak seragam. Jadi, anggap perkiraan ini {conf}.","machine"
"agreement_none","There is no reliable local rain record for this season, so treat this as {conf}.","Tidak ada catatan hujan setempat yang bisa dipercaya untuk musim ini, jadi anggap tingkat keyakinannya: {conf}.","machine"
