key,english,translation,status
"months","Jan | Feb | Mar | Apr | May | Jun | Jul | Aug | Sep | Oct | Nov | Dec","Jan | Fev | Mar | Abr | Mai | Jun | Jul | Ago | Set | Out | Nov | Dez","machine"
"all_year","all year","todo o ano","machine"
"this_area","this area","esta região","machine"
"el_nino","El Niño","El Niño","machine"
"la_nina","La Niña","La Niña","machine"
"neutral","neutral conditions","condições neutras","machine"
"rain_much_wetter","much more rain than usual","muito mais chuva que o normal","machine"
"rain_wetter","more rain than usual","mais chuva que o normal","machine"
"rain_drier","less rain than usual","menos chuva que o normal","machine"
"rain_much_drier","much less rain than usual","muito menos chuva que o normal","machine"
"rain_near_normal","rain close to normal","chuva perto do normal","machine"
"rain_mixed","a mixed rain signal","um sinal de chuva misturado","machine"
"rain_drier__north_and_east_","less rain than usual in the north and east","menos chuva que o normal no norte e no leste","machine"
"rain_wetter__north_and_east_","more rain than usual in the north and east","mais chuva que o normal no norte e no leste","machine"
"rain_drier__south_and_west_","less rain than usual in the south and west","menos chuva que o normal no sul e no oeste","machine"
"temp_warmer","warmer than usual","mais calor que o normal","machine"
"temp_cooler","cooler than usual","mais frio que o normal","machine"
"temp_near_normal","temperatures close to normal","temperaturas perto do normal","machine"
"temp_warmer__winter___cooler__summer_","a milder winter and cooler summer","um inverno menos frio e um verão menos quente","machine"
"temp_cooler__winter___warmer__summer_","a colder winter and hotter summer","um inverno mais frio e um verão mais quente","machine"
"conf_likely","likely","provável","machine"
"conf_leaning","leaning that way","tendência nesse sentido","machine"
"conf_uncertain","uncertain","incerto","machine"
"headline","{name}: {rain} is {conf} in {season}.","{name}: {rain} em {season} — {conf}.","machine"
"headline_neutral","{name}: no El Niño or La Niña is active right now.","{name}: não há El Niño nem La Niña ativos agora.","machine"
"neutral_explain","Seasonal rain here will depend on other factors. Check back monthly; this page updates when conditions change.","A chuva da estação aqui vai depender de outros fatores. Volte a olhar todo mês; esta página é atualizada quando as condições mudam.","machine"
"timing_now","That season is happening now ({season}).","Essa estação está acontecendo agora ({season}).","machine"
"timing_coming","That season starts in about {n} months ({season}).","Essa estação começa em cerca de {n} meses ({season}).","machine"
"timing_passed","That season has passed for this event. The next one is {season}; by then the event may have faded.","Essa estação já passou neste evento. A próxima é {season}; até lá, o evento pode ter enfraquecido.","machine"
"expect","During {phase}, {region} usually sees {rain} and {temp}.","Durante {phase}, {region} costuma ter {rain} e {temp}.","machine"
"agreement_agree","The local rain record agrees with the known pattern, so this outlook is {conf}.","O histórico de chuva daqui concorda com o padrão conhecido. Por isso, marcamos esta previsão como {conf}.","machine"
"agreement_disagree","The local rain record does not clearly agree with the known pattern, so treat this as {conf}.","O histórico de chuva daqui não concorda claramente com o padrão conhecido. Por isso, trate esta previsão como {conf}.","machine"
"agreement_weak","Past events here were mixed, so treat this as {conf}.","Os eventos passados aqui foram variados. Por isso, trate esta previsão como {conf}.","machine"
"agreement_none","There is no reliable local rain record for this season, so treat this as {conf}.","Não existe um histórico de chuva confiável aqui para esta estação. Por isso, trate esta previsão como {conf}.","machine"
"history","In the last {n} strong {phase} events, {season} rain here averaged {pct}. It was wetter than normal in {wet}% of them.","Nos últimos {n} eventos fortes de {phase}, a chuva de {season} aqui ficou, em média, {pct}. Choveu mais que o normal em {wet}% deles.","machine"
"history_recent","Most recent events: {recent}.","Eventos mais recentes: {recent}.","machine"
