key,english,translation,status
"months","Jan | Feb | Mar | Apr | May | Jun | Jul | Aug | Sep | Oct | Nov | Dec","1月 | 2月 | 3月 | 4月 | 5月 | 6月 | 7月 | 8月 | 9月 | 10月 | 11月 | 12月","machine"
"all_year","all year","全年","machine"
"this_area","this area","这个地区","machine"
"el_nino","El Niño","厄尔尼诺","machine"
"la_nina","La Niña","拉尼娜","machine"
"neutral","neutral conditions","中性状态","machine"
"rain_much_wetter","much more rain than usual","雨水比平常多很多","machine"
"rain_wetter","more rain than usual","雨水比平常多","machine"
"rain_drier","less rain than usual","雨水比平常少","machine"
"rain_much_drier","much less rain than usual","雨水比平常少很多","machine"
"rain_near_normal","rain close to normal","雨水接近正常","machine"
"rain_mixed","a mixed rain signal","降雨信号不一致","machine"
"rain_drier__north_and_east_","less rain than usual in the north and east","北部和东部雨水比平常少","machine"
"rain_wetter__north_and_east_","more rain than usual in the north and east","北部和东部雨水比平常多","machine"
"rain_drier__south_and_west_","less rain than usual in the south and west","南部和西部雨水比平常少","machine"
"temp_warmer","warmer than usual","气温比平常高","machine"
"temp_cooler","cooler than usual","气温比平常低","machine"
"temp_near_normal","temperatures close to normal","气温接近正常","machine"
"temp_warmer__winter___cooler__summer_","a milder winter and cooler summer","冬天较暖，夏天较凉","machine"
"temp_cooler__winter___warmer__summer_","a colder winter and hotter summer","冬天更冷，夏天更热","machine"
"conf_likely","likely","可能性较大","machine"
"conf_leaning","leaning that way","略有偏向","machine"
"conf_uncertain","uncertain","不确定","machine"
"headline","{name}: {rain} is {conf} in {season}.","{name}：{season}，{rain}，把握是{conf}。","machine"
"headline_neutral","{name}: no El Niño or La Niña is active right now.","{name}：目前没有厄尔尼诺，也没有拉尼娜。","machine"
"neutral_explain","Seasonal rain here will depend on other factors. Check back monthly; this page updates when conditions change.","这里的季节降雨要看其他因素。请每月回来看看；条件变化时本页会更新。","machine"
"timing_now","That season is happening now ({season}).","这个季节现在正在进行（{season}）。","machine"
"timing_coming","That season starts in about {n} months ({season}).","这个季节大约在{n}个月后开始（{season}）。","machine"
"timing_passed","That season has passed for this event. The next one is {season}; by then the event may have faded.","对这次事件来说，这个季节已经过去了。下一个是{season}；到那时这次事件可能已经减弱。","machine"
"expect","During {phase}, {region} usually sees {rain} and {temp}.","在{phase}期间，{region}通常会遇到{rain}，{temp}。","machine"
"agreement_agree","The local rain record agrees with the known pattern, so this outlook is {conf}.","本地降雨记录与已知规律一致，所以这份展望的把握是{conf}。","machine"
"agreement_disagree","The local rain record does not clearly agree with the known pattern, so treat this as {conf}.","本地降雨记录与已知规律不太一致，所以请按{conf}来看待。","machine"
"agreement_weak","Past events here were mixed, so treat this as {conf}.","这里过去发生的事件情况不一致，所以请按{conf}来看待。","machine"
"agreement_none","There is no reliable local rain record for this season, so treat this as {conf}.","这个季节没有可靠的本地降雨记录，所以请按{conf}来看待。","machine"
"history","In the last {n} strong {phase} events, {season} rain here averaged {pct}. It was wetter than normal in {wet}% of them.","在最近{n}次强{phase}事件中，这里{season}的雨量平均为{pct}。其中{wet}%的事件雨水比正常多。","machine"
"history_recent","Most recent events: {recent}.","最近的事件：{recent}。","machine"
"pct_above","{n}% above normal","比正常多{n}%","machine"
"pct_below","{n}% below normal","比正常少{n}%","machine"
"near_normal","close to normal","接近正常","machine"
"no_data","no data","没有数据","machine"
"status_line","Global status: {status} (issued {issued}).","全球状态：{status}（发布于{issued}）。","machine"
"steps_title","What to do now","现在可以做什么","machine"
"defer","For warnings, follow {service}. This briefing is a seasonal outlook, not a warning.","预警信息请以{service}为准。这份简报是季节展望，不是预警。","machine"
"ui.app_name","ENSO Ready","ENSO Ready","machine"
"ui.tagline","What this El Niño means for you, and what to do about it.","这次厄尔尼诺对你有什么影响，以及你可以怎么做。","machine"
"ui.search_label","Where do you live?","你住在哪里？","machine"
"ui.search_placeholder","Type a town or city","输入乡镇或城市名","machine"
"ui.use_location","Use my location","使用我的位置","machine"
"ui.see_briefing","See my briefing","查看我的简报","machine"
"ui.livelihood_q","What best describes you?","哪一项最符合你？","machine"
"ui.livelihood_farmer","I farm or keep animals","我种地或养牲畜","machine"
"ui.livelihood_coastal","I live near the coast or a river","我住在海边或河边","machine"
"ui.livelihood_urban","I live in a town or city","我住在乡镇或城市","machine"
"ui.livelihood_all","Just show me everything","全部都给我看","machine"
"ui.tell_more","Tell me more","了解更多","machine"
"ui.show_less","Show less","收起","machine"
"ui.step_of","Step {i} of {n}","第{i}步，共{n}步","machine"
"ui.why_matters","Why this matters","为什么这很重要","machine"
"ui.done","Done","完成","machine"
"ui.next_step","Next step","下一步","machine"
"ui.show_all_steps","Show all steps","显示所有步骤","machine"
"ui.minutes","about {n} minutes","大约 {n} 分钟","machine"
"ui.what_now","What should I do right now?","我现在该做什么？","machine"
"ui.read_aloud","Read aloud","朗读","machine"
"ui.radio_script","30-second radio script","30秒广播稿","machine"
"ui.sms_text","SMS version","短信版","machine"
"ui.sources","Sources","资料来源","machine"
"ui.updated","Data updated {date}","数据更新于 {date}","machine"
"ui.offline_note","You are offline. Showing your last briefing from {date}.","你现在没有联网。这里显示的是 {date} 的上一次简报。","machine"
"ui.mt_banner","Machine-translated. Tap to suggest a fix.","本文由机器翻译。点一下可以提出修改建议。","machine"
"ui.settings","Settings","设置","machine"
"ui.text_size","Text size","字体大小","machine"
"ui.high_contrast","High contrast","高对比度","machine"
"ui.reduce_motion","Reduce motion","减少动画","machine"
"ui.easy_read","Easy Read","简易阅读","machine"
"ui.methodology","How this works","这是怎么做出来的","machine"
"ui.back","Back","返回","machine"
"ui.change_place","Change place","更换地点","machine"
"ui.no_results","No match. Try a bigger town nearby.","没有找到。可以试试附近更大的城镇。","machine"
"ui.region_label","Region","地区","machine"
"ui.share","Share this briefing","分享这份简报","machine"
"ui.no_js","Search needs JavaScript. Without it, pick your country below.","搜索需要 JavaScript。如果不能用，请在下面选择你的国家。","machine"
"ui.forecast_unavailable","Seasonal model forecast not available right now (offline or busy). The outlook above uses the known pattern and past events.","现在拿不到季节模型的预报（没有联网或系统繁忙）。上面的展望用的是已知的天气规律和过去发生过的事件。","machine"
"ui.data_note","Data: {list}.","数据：{list}。","machine"
"ui.near","near {name}","{name}附近","machine"
"ui.pick_map","Pick on a map","在地图上选位置","machine"
"ui.map_hint","Tap your location on the map. Zoom in for villages.","在地图上点你所在的位置。放大地图可以看到村庄。","machine"
"ui.skip","Skip to main content","跳到主要内容","machine"
"ui.dyslexia","Dyslexia-friendly spacing","阅读障碍友好的字距","machine"
"ui.steps_shortcut_hint","Jumps to your first step.","跳到你的第一步。","machine"
"ui.loading","Getting your briefing…","正在获取你的简报…","machine"
"ui.error_title","We could not load your briefing.","我们无法加载你的简报。","machine"
"ui.error_body","Check your connection and try again. Your last briefing, if you had one, is kept on this phone.","请检查网络连接，然后再试一次。如果你之前有简报，它会保存在这部手机上。","machine"
"ui.retry","Try again","再试一次","machine"
"timing_coming_one","That season starts next month ({season}).","那个季节下个月开始（{season}）。","machine"
"hazards.FL","flooding","洪水","machine"
"hazards.FLR","river flooding","河流洪水","machine"
"hazards.FF","flash floods","山洪","machine"
"hazards.LS","landslides","滑坡","machine"
"hazards.DR","drought","干旱","machine"
"hazards.WS","water shortage","缺水","machine"
"hazards.WF","fires","火灾","machine"
"hazards.HZ","smoke haze","烟霾","machine"
