key,english,translation,status
"months","Jan | Feb | Mar | Apr | May | Jun | Jul | Aug | Sep | Oct | Nov | Dec","जन | फ़र | मार्च | अप्रै | मई | जून | जुल | अग | सित | अक्तू | नव | दिस","machine"
"all_year","all year","पूरे साल","machine"
"this_area","this area","इस इलाके","machine"
"el_nino","El Niño","अल नीनो","machine"
"la_nina","La Niña","ला नीना","machine"
"neutral","neutral conditions","सामान्य हालात","machine"
"rain_much_wetter","much more rain than usual","सामान्य से बहुत ज़्यादा बारिश","machine"
"rain_wetter","more rain than usual","सामान्य से ज़्यादा बारिश","machine"
"rain_drier","less rain than usual","सामान्य से कम बारिश","machine"
"rain_much_drier","much less rain than usual","सामान्य से बहुत कम बारिश","machine"
"rain_near_normal","rain close to normal","बारिश सामान्य के आसपास","machine"
"rain_mixed","a mixed rain signal","बारिश का मिला-जुला संकेत","machine"
"rain_drier__north_and_east_","less rain than usual in the north and east","उत्तर और पूर्व में सामान्य से कम बारिश","machine"
"rain_wetter__north_and_east_","more rain than usual in the north and east","उत्तर और पूर्व में सामान्य से ज़्यादा बारिश","machine"
"rain_drier__south_and_west_","less rain than usual in the south and west","दक्षिण और पश्चिम में सामान्य से कम बारिश","machine"
"temp_warmer","warmer than usual","सामान्य से ज़्यादा गर्मी","machine"
"temp_cooler","cooler than usual","सामान्य से ज़्यादा ठंड","machine"
"temp_near_normal","temperatures close to normal","तापमान सामान्य के आसपास","machine"
"temp_warmer__winter___cooler__summer_","a milder winter and cooler summer","कम ठंड वाली सर्दी और कम गर्मी वाली गर्मियाँ","machine"
"temp_cooler__winter___warmer__summer_","a colder winter and hotter summer","ज़्यादा ठंड वाली सर्दी और ज़्यादा गर्मी वाली गर्मियाँ","machine"
"conf_likely","likely","इसकी संभावना ज़्यादा है","machine"
"conf_leaning","leaning that way","इसकी ओर हल्का झुकाव है","machine"
"conf_uncertain","uncertain","यह अभी अनिश्चित है","machine"
"headline","{name}: {rain} is {conf} in {season}.","{name}: {season} में {rain}। {conf}।","machine"
"headline_neutral","{name}: no El Niño or La Niña is active right now.","{name}: अभी न अल नीनो चल रहा है, न ला नीना।","machine"
"neutral_explain","Seasonal rain here will depend on other factors. Check back monthly; this page updates when conditions change.","यहाँ इस मौसम की बारिश दूसरी बातों पर निर्भर करेगी। हर महीने फिर से देखें। हालात बदलने पर यह पेज अपडेट होता है।","machine"
"timing_now","That season is happening now ({season}).","यह मौसम अभी चल रहा है ({season})।","machine"
"timing_coming","That season starts in about {n} months ({season}).","यह मौसम करीब {n} महीने में शुरू होगा ({season})।","machine"
"timing_passed","That season has passed for this event. The next one is {season}; by then the event may have faded.","इस घटना के लिए यह मौसम बीत चुका है। अगला मौसम {season} है। तब तक यह घटना कमज़ोर पड़ सकती है।","machine"
"expect","During {phase}, {region} usually sees {rain} and {temp}.","{phase} के दौरान {region} में आम तौर पर ऐसा होता है: {rain}, और {temp}।","machine"
"agreement_agree","The local rain record agrees with the known pattern, so this outlook is {conf}.","यहाँ की बारिश का पुराना रिकॉर्ड जानी-पहचानी पैटर्न से मेल खाता है। इसलिए {conf}।","machine"
"agreement_disagree","The local rain record does not clearly agree with the known pattern, so treat this as {conf}.","यहाँ की बारिश का पुराना रिकॉर्ड जानी-पहचानी पैटर्न से साफ़ मेल नहीं खाता। इसलिए मानकर चलें कि {conf}।","machine"
"agreement_weak","Past events here were mixed, so treat this as {conf}.","यहाँ पिछली घटनाओं के नतीजे मिले-जुले रहे। इसलिए मानकर चलें कि {conf}।","machine"
"agreement_none","There is no reliable local rain record for this season, so treat this as {conf}.","इस मौसम के लिए यहाँ बारिश का भरोसेमंद रिकॉर्ड नहीं है। इसलिए मानकर चलें कि {conf}।","machine"
"history","In the last {n} strong {phase} events, {season} rain here averaged {pct}. It was wetter than normal in {wet}% of them.","पिछली {n} तेज़ {phase} घटनाओं में यहाँ {season} की बारिश औसतन {pct} रही। इनमें से {wet}% में बारिश सामान्य से ज़्यादा हुई।","machine"
"history_recent","Most recent events: {recent}.","सबसे हाल की घटनाएँ: {recent}।","machine"
"pct_above","{n}% above normal","सामान्य से {n}% ज़्यादा","machine"
"pct_below","{n}% below normal","सामान्य से {n}% कम","machine"
"near_normal","close to normal","सामान्य के आसपास","machine"
"no_data","no data","कोई आँकड़ा नहीं","machine"
"status_line","Global status: {status} (issued {issued}).","दुनिया भर का हाल: {status} (जारी: {issued})।","machine"
"steps_title","What to do now","अब क्या करें","machine"
"defer","For warnings, follow {service}. This briefing is a seasonal outlook, not a warning.","चेतावनी के लिए {service} की बात मानें। यह जानकारी पूरे मौसम का अनुमान है, चेतावनी नहीं।","machine"
"ui.app_name","ENSO Ready","ENSO Ready","machine"
"ui.tagline","What this El Niño means for you, and what to do about it.","इस अल नीनो का आपके लिए क्या मतलब है, और आपको क्या करना चाहिए।","machine"
"ui.search_label","Where do you live?","आप कहाँ रहते हैं?","machine"
"ui.search_placeholder","Type a town or city","कस्बे या शहर का नाम लिखें","machine"
"ui.use_location","Use my location","मेरी जगह इस्तेमाल करें","machine"
"ui.see_briefing","See my briefing","मेरे इलाके की जानकारी देखें","machine"
"ui.livelihood_q","What best describes you?","आपके लिए इनमें से क्या सही है?","machine"
"ui.livelihood_farmer","I farm or keep animals","मैं खेती करता/करती हूँ या जानवर पालता/पालती हूँ","machine"
"ui.livelihood_coastal","I live near the coast or a river","मैं समुद्र के किनारे या नदी के पास रहता/रहती हूँ","machine"
"ui.livelihood_urban","I live in a town or city","मैं कस्बे या शहर में रहता/रहती हूँ","machine"
"ui.livelihood_all","Just show me everything","मुझे सब कुछ दिखाएँ","machine"
"ui.tell_more","Tell me more","और बताएँ","machine"
"ui.show_less","Show less","कम दिखाएँ","machine"
"ui.step_of","Step {i} of {n}","{n} में से चरण {i}","machine"
"ui.why_matters","Why this matters","यह क्यों ज़रूरी है","machine"
"ui.done","Done","हो गया","machine"
"ui.next_step","Next step","अगला कदम","machine"
"ui.show_all_steps","Show all steps","सभी कदम दिखाएँ","machine"
"ui.minutes","about {n} minutes","करीब {n} मिनट","machine"
"ui.what_now","What should I do right now?","मुझे अभी क्या करना चाहिए?","machine"
"ui.read_aloud","Read aloud","पढ़कर सुनाएँ","machine"
"ui.radio_script","30-second radio script","30 सेकंड की रेडियो स्क्रिप्ट","machine"
"ui.sms_text","SMS version","एसएमएस वाला रूप","machine"
"ui.sources","Sources","स्रोत","machine"
"ui.updated","Data updated {date}","डेटा {date} को अपडेट हुआ","machine"
"ui.offline_note","You are offline. Showing your last briefing from {date}.","आप ऑफ़लाइन हैं। {date} की आपकी पिछली जानकारी दिखाई जा रही है।","machine"
"ui.mt_banner","Machine-translated. Tap to suggest a fix.","यह मशीन से अनुवाद किया गया है। सुधार बताने के लिए टैप करें।","machine"
"ui.settings","Settings","सेटिंग","machine"
"ui.text_size","Text size","अक्षरों का आकार","machine"
"ui.high_contrast","High contrast","ज़्यादा कंट्रास्ट","machine"
"ui.reduce_motion","Reduce motion","हलचल कम करें","machine"
"ui.easy_read","Easy Read","आसान भाषा","machine"
"ui.methodology","How this works","यह कैसे काम करता है","machine"
"ui.back","Back","वापस","machine"
"ui.change_place","Change place","जगह बदलें","machine"
"ui.no_results","No match. Try a bigger town nearby.","कुछ नहीं मिला। पास का कोई बड़ा शहर आज़माएँ।","machine"
"ui.region_label","Region","क्षेत्र","machine"
"ui.share","Share this briefing","यह जानकारी साझा करें","machine"
"ui.no_js","Search needs JavaScript. Without it, pick your country below.","खोज के लिए JavaScript चाहिए। इसके बिना, नीचे से अपना देश चुनें।","machine"
"ui.forecast_unavailable","Seasonal model forecast not available right now (offline or busy). The outlook above uses the known pattern and past events.","मौसमी मॉडल का पूर्वानुमान अभी उपलब्ध नहीं है (ऑफ़लाइन या व्यस्त)। ऊपर दिया गया अनुमान पहले से ज्ञात पैटर्न और पुरानी घटनाओं पर आधारित है।","machine"
"ui.data_note","Data: {list}.","डेटा: {list}।","machine"
"ui.near","near {name}","{name} के पास","machine"
"ui.pick_map","Pick on a map","नक्शे पर चुनें","machine"
"ui.map_hint","Tap your location on the map. Zoom in for villages.","नक्शे पर अपनी जगह टैप करें। गाँव देखने के लिए ज़ूम करें।","machine"
"ui.skip","Skip to main content","मुख्य सामग्री पर जाएँ","machine"
