key,english,translation,status
"months","Jan | Feb | Mar | Apr | May | Jun | Jul | Aug | Sep | Oct | Nov | Dec","янв | фев | мар | апр | май | июн | июл | авг | сен | окт | ноя | дек","machine"
"all_year","all year","весь год","machine"
"this_area","this area","этот район","machine"
"el_nino","El Niño","Эль-Ниньо","machine"
"la_nina","La Niña","Ла-Нинья","machine"
"neutral","neutral conditions","нейтральные условия","machine"
"rain_much_wetter","much more rain than usual","дождя намного больше обычного","machine"
"rain_wetter","more rain than usual","дождя больше обычного","machine"
"rain_drier","less rain than usual","дождя меньше обычного","machine"
"rain_much_drier","much less rain than usual","дождя намного меньше обычного","machine"
"rain_near_normal","rain close to normal","дождя примерно как обычно","machine"
"rain_mixed","a mixed rain signal","сигналы по дождю разные","machine"
"rain_drier__north_and_east_","less rain than usual in the north and east","на севере и востоке дождя меньше обычного","machine"
"rain_wetter__north_and_east_","more rain than usual in the north and east","на севере и востоке дождя больше обычного","machine"
"rain_drier__south_and_west_","less rain than usual in the south and west","на юге и западе дождя меньше обычного","machine"
"temp_warmer","warmer than usual","теплее обычного","machine"
"temp_cooler","cooler than usual","прохладнее обычного","machine"
"temp_near_normal","temperatures close to normal","температура близка к обычной","machine"
"temp_warmer__winter___cooler__summer_","a milder winter and cooler summer","зима мягче, лето прохладнее","machine"
"temp_cooler__winter___warmer__summer_","a colder winter and hotter summer","зима холоднее, лето жарче","machine"
"conf_likely","likely","вероятно","machine"
"conf_leaning","leaning that way","возможно","machine"
"conf_uncertain","uncertain","неясно","machine"
"headline","{name}: {rain} is {conf} in {season}.","{name}: {season} — {rain}. Оценка: {conf}.","machine"
"headline_neutral","{name}: no El Niño or La Niña is active right now.","{name}: сейчас нет ни Эль-Ниньо, ни Ла-Нинья.","machine"
"neutral_explain","Seasonal rain here will depend on other factors. Check back monthly; this page updates when conditions change.","Сезонные дожди здесь будут зависеть от других причин. Заходите раз в месяц: страница обновляется, когда условия меняются.","machine"
"timing_now","That season is happening now ({season}).","Этот сезон идёт сейчас ({season}).","machine"
"timing_coming","That season starts in about {n} months ({season}).","Этот сезон начнётся примерно через {n} мес. ({season}).","machine"
"timing_passed","That season has passed for this event. The next one is {season}; by then the event may have faded.","Для этого события такой сезон уже прошёл. Следующий — {season}; к тому времени событие может ослабнуть.","machine"
"expect","During {phase}, {region} usually sees {rain} and {temp}.","{region}: во время {phase} обычно так: {rain} и {temp}.","machine"
"agreement_agree","The local rain record agrees with the known pattern, so this outlook is {conf}.","Местные записи о дожде совпадают с известной картиной. Оценка: {conf}.","machine"
"agreement_disagree","The local rain record does not clearly agree with the known pattern, so treat this as {conf}.","Местные записи о дожде не совпадают ясно с известной картиной. Оценка: {conf}.","machine"
"agreement_weak","Past events here were mixed, so treat this as {conf}.","Прошлые события здесь были разными. Оценка: {conf}.","machine"
"agreement_none","There is no reliable local rain record for this season, so treat this as {conf}.","Надёжных местных записей о дожде за этот сезон нет. Оценка: {conf}.","machine"
"history","In the last {n} strong {phase} events, {season} rain here averaged {pct}. It was wetter than normal in {wet}% of them.","Во время последних {n} сильных событий {phase} дождь здесь ({season}) в среднем: {pct}. Дождя было больше обычного в {wet}% случаев.","machine"
"history_recent","Most recent events: {recent}.","Последние события: {recent}.","machine"
"pct_above","{n}% above normal","на {n}% больше обычного","machine"
"pct_below","{n}% below normal","на {n}% меньше обычного","machine"
"near_normal","close to normal","примерно как обычно","machine"
"no_data","no data","нет данных","machine"
