key,english,translation,status
"months","Jan | Feb | Mar | Apr | May | Jun | Jul | Aug | Sep | Oct | Nov | Dec","Ene | Peb | Mar | Abr | May | Hun | Hul | Ago | Set | Okt | Nob | Dis","machine"
"all_year","all year","buong taon","machine"
"this_area","this area","lugar na ito","machine"
"el_nino","El Niño","El Niño","machine"
"la_nina","La Niña","La Niña","machine"
"neutral","neutral conditions","neutral na kalagayan","machine"
"rain_much_wetter","much more rain than usual","higit na mas maraming ulan kaysa karaniwan","machine"
"rain_wetter","more rain than usual","mas maraming ulan kaysa karaniwan","machine"
"rain_drier","less rain than usual","mas kaunting ulan kaysa karaniwan","machine"
"rain_much_drier","much less rain than usual","higit na mas kaunting ulan kaysa karaniwan","machine"
"rain_near_normal","rain close to normal","ulan na malapit sa karaniwan","machine"
"rain_mixed","a mixed rain signal","halo-halong hudyat tungkol sa ulan","machine"
"rain_drier__north_and_east_","less rain than usual in the north and east","mas kaunting ulan kaysa karaniwan sa hilaga at silangan","machine"
"rain_wetter__north_and_east_","more rain than usual in the north and east","mas maraming ulan kaysa karaniwan sa hilaga at silangan","machine"
"rain_drier__south_and_west_","less rain than usual in the south and west","mas kaunting ulan kaysa karaniwan sa timog at kanluran","machine"
"temp_warmer","warmer than usual","mas mainit kaysa karaniwan","machine"
"temp_cooler","cooler than usual","mas malamig kaysa karaniwan","machine"
"temp_near_normal","temperatures close to normal","temperaturang malapit sa karaniwan","machine"
"temp_warmer__winter___cooler__summer_","a milder winter and cooler summer","hindi gaanong malamig na taglamig at mas malamig na tag-init","machine"
"temp_cooler__winter___warmer__summer_","a colder winter and hotter summer","mas malamig na taglamig at mas mainit na tag-init","machine"
"conf_likely","likely","malamang","machine"
"conf_leaning","leaning that way","medyo malamang","machine"
"conf_uncertain","uncertain","hindi tiyak","machine"
"headline","{name}: {rain} is {conf} in {season}.","{name}: {rain} sa {season}. Ito ay {conf}.","machine"
"headline_neutral","{name}: no El Niño or La Niña is active right now.","{name}: walang El Niño o La Niña ngayon.","machine"
"neutral_explain","Seasonal rain here will depend on other factors. Check back monthly; this page updates when conditions change.","Ang ulan dito sa panahong ito ay nakadepende sa ibang mga bagay. Bumalik kada buwan. Nag-a-update ang pahinang ito kapag nagbago ang kalagayan.","machine"
"timing_now","That season is happening now ({season}).","Nangyayari na ngayon ang panahong iyon ({season}).","machine"
"timing_coming","That season starts in about {n} months ({season}).","Magsisimula ang panahong iyon sa loob ng humigit-kumulang {n} buwan ({season}).","machine"
"timing_passed","That season has passed for this event. The next one is {season}; by then the event may have faded.","Lumipas na ang panahong iyon para sa pangyayaring ito. Ang susunod ay {season}. Baka humina na ang pangyayari sa panahong iyon.","machine"
"expect","During {phase}, {region} usually sees {rain} and {temp}.","Sa panahon ng {phase}, karaniwang nakakaranas ang {region} ng {rain} at {temp}.","machine"
"agreement_agree","The local rain record agrees with the known pattern, so this outlook is {conf}.","Sang-ayon ang tala ng ulan dito sa kilalang padron, kaya ang pagtatayang ito ay {conf}.","machine"
"agreement_disagree","The local rain record does not clearly agree with the known pattern, so treat this as {conf}.","Hindi malinaw na sang-ayon ang tala ng ulan dito sa kilalang padron, kaya ituring itong {conf}.","machine"
"agreement_weak","Past events here were mixed, so treat this as {conf}.","Halo-halo ang mga naunang pangyayari dito, kaya ituring itong {conf}.","machine"
"agreement_none","There is no reliable local rain record for this season, so treat this as {conf}.","Walang maaasahang tala ng ulan dito para sa panahong ito, kaya ituring itong {conf}.","machine"
"history","In the last {n} strong {phase} events, {season} rain here averaged {pct}. It was wetter than normal in {wet}% of them.","Sa huling {n} malakas na pangyayari ng {phase}, ang karaniwang ulan dito tuwing {season} ay {pct}. Mas maulan kaysa karaniwan sa {wet}% ng mga ito.","machine"
"history_recent","Most recent events: {recent}.","Mga pinakahuling pangyayari: {recent}.","machine"
"pct_above","{n}% above normal","{n}% mas mataas sa karaniwan","machine"
"pct_below","{n}% below normal","{n}% mas mababa sa karaniwan","machine"
"near_normal","close to normal","malapit sa karaniwan","machine"
"no_data","no data","walang datos","machine"
"status_line","Global status: {status} (issued {issued}).","Pandaigdigang kalagayan: {status} (inilabas {issued}).","machine"
"steps_title","What to do now","Ano ang gagawin ngayon","machine"
"defer","For warnings, follow {service}. This briefing is a seasonal outlook, not a warning.","Para sa mga babala, sundin ang {service}. Ang ulat na ito ay pagtataya para sa panahon, hindi babala.","machine"
"ui.app_name","ENSO Ready","ENSO Ready","machine"
"ui.tagline","What this El Niño means for you, and what to do about it.","Ano ang ibig sabihin ng El Niño na ito para sa iyo, at ano ang dapat mong gawin.","machine"
"ui.search_label","Where do you live?","Saan ka nakatira?","machine"
"ui.search_placeholder","Type a town or city","I-type ang bayan o lungsod","machine"
"ui.use_location","Use my location","Gamitin ang aking lokasyon","machine"
"ui.see_briefing","See my briefing","Tingnan ang aking ulat","machine"
"ui.livelihood_q","What best describes you?","Alin ang pinakaangkop sa iyo?","machine"
"ui.livelihood_farmer","I farm or keep animals","Nagsasaka ako o nag-aalaga ng hayop","machine"
"ui.livelihood_coastal","I live near the coast or a river","Nakatira ako malapit sa dagat o ilog","machine"
"ui.livelihood_urban","I live in a town or city","Nakatira ako sa bayan o lungsod","machine"
"ui.livelihood_all","Just show me everything","Ipakita na lang ang lahat","machine"
"ui.tell_more","Tell me more","Higit pang detalye","machine"
"ui.show_less","Show less","Ipakita nang mas kaunti","machine"
"ui.step_of","Step {i} of {n}","Hakbang {i} ng {n}","machine"
"ui.why_matters","Why this matters","Bakit ito mahalaga","machine"
"ui.done","Done","Tapos na","machine"
"ui.next_step","Next step","Susunod na hakbang","machine"
"ui.show_all_steps","Show all steps","Ipakita ang lahat ng hakbang","machine"
"ui.minutes","about {n} minutes","mga {n} minuto","machine"
"ui.what_now","What should I do right now?","Ano ang dapat kong gawin ngayon?","machine"
"ui.read_aloud","Read aloud","Basahin nang malakas","machine"
"ui.radio_script","30-second radio script","30-segundong script para sa radyo","machine"
"ui.sms_text","SMS version","Bersyon sa SMS","machine"
"ui.sources","Sources","Mga pinagkunan","machine"
"ui.updated","Data updated {date}","Na-update ang datos noong {date}","machine"
"ui.offline_note","You are offline. Showing your last briefing from {date}.","Offline ka ngayon. Ipinapakita ang huling ulat mo mula {date}.","machine"
"ui.mt_banner","Machine-translated. Tap to suggest a fix.","Isinalin ng makina. Pindutin para magmungkahi ng pagwawasto.","machine"
"ui.settings","Settings","Mga setting","machine"
"ui.text_size","Text size","Laki ng teksto","machine"
"ui.high_contrast","High contrast","Mataas na kontrast","machine"
"ui.reduce_motion","Reduce motion","Bawasan ang paggalaw","machine"
"ui.easy_read","Easy Read","Madaling Basahin","machine"
"ui.methodology","How this works","Paano ito gumagana","machine"
"ui.back","Back","Bumalik","machine"
"ui.change_place","Change place","Palitan ang lugar","machine"
"ui.no_results","No match. Try a bigger town nearby.","Walang tugma. Subukan ang mas malaking bayan na malapit.","machine"
"ui.region_label","Region","Rehiyon","machine"
"ui.share","Share this briefing","Ibahagi ang ulat na ito","machine"
"ui.no_js","Search needs JavaScript. Without it, pick your country below.","Kailangan ng JavaScript ang paghahanap. Kung wala ito, piliin ang bansa mo sa ibaba.","machine"
