key,english,translation,status
"months","Jan | Feb | Mar | Apr | May | Jun | Jul | Aug | Sep | Oct | Nov | Dec","ဇန် | ဖေ | မတ် | ဧပြီ | မေ | ဇွန် | ဇူ | ဩ | စက် | အောက် | နို | ဒီ","machine"
"all_year","all year","တစ်နှစ်လုံး","machine"
"this_area","this area","ဒီဒေသ","machine"
"el_nino","El Niño","အယ်လ်နီညို","machine"
"la_nina","La Niña","လာနီညာ","machine"
"neutral","neutral conditions","ပုံမှန် အခြေအနေ","machine"
"rain_much_wetter","much more rain than usual","ပုံမှန်ထက် မိုး အများကြီး ပိုများခြင်း","machine"
"rain_wetter","more rain than usual","ပုံမှန်ထက် မိုး ပိုများခြင်း","machine"
"rain_drier","less rain than usual","ပုံမှန်ထက် မိုး ပိုနည်းခြင်း","machine"
"rain_much_drier","much less rain than usual","ပုံမှန်ထက် မိုး အများကြီး ပိုနည်းခြင်း","machine"
"rain_near_normal","rain close to normal","မိုးရွာမှု ပုံမှန်နီးပါး","machine"
"rain_mixed","a mixed rain signal","မိုးရွာမှု အခြေအနေ ရောနှောနေခြင်း","machine"
"rain_drier__north_and_east_","less rain than usual in the north and east","မြောက်ပိုင်းနှင့် အရှေ့ပိုင်းတွင် ပုံမှန်ထက် မိုး ပိုနည်းခြင်း","machine"
"rain_wetter__north_and_east_","more rain than usual in the north and east","မြောက်ပိုင်းနှင့် အရှေ့ပိုင်းတွင် ပုံမှန်ထက် မိုး ပိုများခြင်း","machine"
"rain_drier__south_and_west_","less rain than usual in the south and west","တောင်ပိုင်းနှင့် အနောက်ပိုင်းတွင် ပုံမှန်ထက် မိုး ပိုနည်းခြင်း","machine"
"temp_warmer","warmer than usual","ပုံမှန်ထက် ပိုပူခြင်း","machine"
"temp_cooler","cooler than usual","ပုံမှန်ထက် ပိုအေးခြင်း","machine"
"temp_near_normal","temperatures close to normal","အပူချိန် ပုံမှန်နီးပါး","machine"
"temp_warmer__winter___cooler__summer_","a milder winter and cooler summer","ဆောင်းရာသီ သိပ်မအေးဘဲ နွေရာသီ ပိုအေးခြင်း","machine"
"temp_cooler__winter___warmer__summer_","a colder winter and hotter summer","ဆောင်းရာသီ ပိုအေး၍ နွေရာသီ ပိုပူခြင်း","machine"
"conf_likely","likely","ဖြစ်နိုင်ခြေများသည်","machine"
"conf_leaning","leaning that way","အဲဒီဘက်ကို ယိမ်းနေပါတယ်","machine"
"conf_uncertain","uncertain","မသေချာပါ","machine"
"headline","{name}: {rain} is {conf} in {season}.","{name} - {season} မှာ {rain} ဖြစ်ဖို့ {conf}။","machine"
