key,english,translation,status
"months","Jan | Feb | Mar | Apr | May | Jun | Jul | Aug | Sep | Oct | Nov | Dec","يناير | فبراير | مارس | أبريل | مايو | يونيو | يوليو | أغسطس | سبتمبر | أكتوبر | نوفمبر | ديسمبر","machine"
"all_year","all year","طوال السنة","machine"
"this_area","this area","هذه المنطقة","machine"
"el_nino","El Niño","El Niño","machine"
"la_nina","La Niña","La Niña","machine"
"neutral","neutral conditions","الظروف المحايدة","machine"
"rain_much_wetter","much more rain than usual","أمطار أكثر من المعتاد بكثير","machine"
"rain_wetter","more rain than usual","أمطار أكثر من المعتاد","machine"
"rain_drier","less rain than usual","أمطار أقل من المعتاد","machine"
"rain_much_drier","much less rain than usual","أمطار أقل من المعتاد بكثير","machine"
"rain_near_normal","rain close to normal","أمطار قريبة من المعتاد","machine"
"rain_mixed","a mixed rain signal","أمطار متفاوتة","machine"
"rain_drier__north_and_east_","less rain than usual in the north and east","أمطار أقل من المعتاد في الشمال والشرق","machine"
"rain_wetter__north_and_east_","more rain than usual in the north and east","أمطار أكثر من المعتاد في الشمال والشرق","machine"
"rain_drier__south_and_west_","less rain than usual in the south and west","أمطار أقل من المعتاد في الجنوب والغرب","machine"
"temp_warmer","warmer than usual","حرارة أعلى من المعتاد","machine"
"temp_cooler","cooler than usual","حرارة أقل من المعتاد","machine"
"temp_near_normal","temperatures close to normal","درجات حرارة قريبة من المعتاد","machine"
"temp_warmer__winter___cooler__summer_","a milder winter and cooler summer","شتاء أدفأ وصيف أبرد","machine"
"temp_cooler__winter___warmer__summer_","a colder winter and hotter summer","شتاء أبرد وصيف أشد حرارة","machine"
"conf_likely","likely","مُرجَّح","machine"
"conf_leaning","leaning that way","ميل إلى ذلك","machine"
"conf_uncertain","uncertain","غير مؤكد","machine"
"headline","{name}: {rain} is {conf} in {season}.","{name}: {rain} في {season}. مستوى الثقة: {conf}.","machine"
"headline_neutral","{name}: no El Niño or La Niña is active right now.","{name}: لا توجد حالة El Niño أو La Niña نشطة الآن.","machine"
"neutral_explain","Seasonal rain here will depend on other factors. Check back monthly; this page updates when conditions change.","أمطار الموسم هنا تعتمد على عوامل أخرى. تفقّد هذه الصفحة كل شهر؛ فهي تُحدَّث عند تغيّر الأحوال.","machine"
"timing_now","That season is happening now ({season}).","ذلك الموسم يحدث الآن ({season}).","machine"
"timing_coming","That season starts in about {n} months ({season}).","يبدأ ذلك الموسم بعد نحو {n} أشهر ({season}).","machine"
"timing_passed","That season has passed for this event. The next one is {season}; by then the event may have faded.","انتهى ذلك الموسم بالنسبة لهذه الحالة. الموسم التالي هو {season}، وقد تكون الحالة قد ضعفت قبله.","machine"
"expect","During {phase}, {region} usually sees {rain} and {temp}.","خلال {phase}، تشهد {region} عادةً {rain} و{temp}.","machine"
"agreement_agree","The local rain record agrees with the known pattern, so this outlook is {conf}.","سجل الأمطار المحلي يتفق مع النمط المعروف، لذلك مستوى الثقة في هذا التوقع: {conf}.","machine"
"agreement_disagree","The local rain record does not clearly agree with the known pattern, so treat this as {conf}.","سجل الأمطار المحلي لا يتفق بوضوح مع النمط المعروف، لذلك اعتبر مستوى الثقة: {conf}.","machine"
"agreement_weak","Past events here were mixed, so treat this as {conf}.","الحالات السابقة هنا كانت متباينة، لذلك اعتبر مستوى الثقة: {conf}.","machine"
"agreement_none","There is no reliable local rain record for this season, so treat this as {conf}.","لا يوجد سجل أمطار محلي موثوق لهذا الموسم، لذلك اعتبر مستوى الثقة: {conf}.","machine"
"history","In the last {n} strong {phase} events, {season} rain here averaged {pct}. It was wetter than normal in {wet}% of them.","في آخر {n} حالات قوية من {phase}، كان متوسط أمطار {season} هنا {pct}. وكانت الأمطار أكثر من المعتاد في {wet}% منها.","machine"
"history_recent","Most recent events: {recent}.","أحدث الحالات: {recent}.","machine"
"pct_above","{n}% above normal","{n}% أعلى من المعتاد","machine"
"pct_below","{n}% below normal","{n}% أقل من المعتاد","machine"
"near_normal","close to normal","قريب من المعتاد","machine"
"no_data","no data","لا توجد بيانات","machine"
"status_line","Global status: {status} (issued {issued}).","الحالة العالمية: {status} (صادرة في {issued}).","machine"
"steps_title","What to do now","ماذا تفعل الآن","machine"
"defer","For warnings, follow {service}. This briefing is a seasonal outlook, not a warning.","للتحذيرات، تابع {service}. هذه النشرة توقّع موسمي، وليست تحذيرًا.","machine"
"ui.app_name","ENSO Ready","ENSO Ready","machine"
"ui.tagline","What this El Niño means for you, and what to do about it.","ماذا يعني El Niño هذا لك، وماذا تفعل بشأنه.","machine"
"ui.search_label","Where do you live?","أين تسكن؟","machine"
"ui.search_placeholder","Type a town or city","اكتب اسم بلدة أو مدينة","machine"
"ui.use_location","Use my location","استخدم موقعي","machine"
"ui.see_briefing","See my briefing","اعرض نشرتي","machine"
"ui.livelihood_q","What best describes you?","ما الوصف الأقرب إليك؟","machine"
"ui.livelihood_farmer","I farm or keep animals","أزرع الأرض أو أربّي حيوانات","machine"
"ui.livelihood_coastal","I live near the coast or a river","أسكن قرب الساحل أو النهر","machine"
"ui.livelihood_urban","I live in a town or city","أسكن في بلدة أو مدينة","machine"
"ui.livelihood_all","Just show me everything","اعرض لي كل شيء","machine"
"ui.tell_more","Tell me more","أخبرني المزيد","machine"
"ui.show_less","Show less","إظهار أقل","machine"
"ui.step_of","Step {i} of {n}","الخطوة {i} من {n}","machine"
"ui.why_matters","Why this matters","لماذا هذا مهم","machine"
"ui.done","Done","تم","machine"
"ui.next_step","Next step","الخطوة التالية","machine"
"ui.show_all_steps","Show all steps","إظهار جميع الخطوات","machine"
"ui.minutes","about {n} minutes","حوالي {n} دقيقة","machine"
"ui.what_now","What should I do right now?","ماذا أفعل الآن؟","machine"
"ui.read_aloud","Read aloud","اقرأ بصوت مسموع","machine"
"ui.radio_script","30-second radio script","نص إذاعي مدته 30 ثانية","machine"
"ui.sms_text","SMS version","نسخة الرسالة القصيرة","machine"
"ui.sources","Sources","المصادر","machine"
"ui.updated","Data updated {date}","تم تحديث البيانات في {date}","machine"
"ui.offline_note","You are offline. Showing your last briefing from {date}.","أنت غير متصل بالإنترنت. هذه آخر نشرة لديك من {date}.","machine"
"ui.mt_banner","Machine-translated. Tap to suggest a fix.","ترجمة آلية. اضغط لاقتراح تصحيح.","machine"
"ui.settings","Settings","الإعدادات","machine"
"ui.text_size","Text size","حجم النص","machine"
"ui.high_contrast","High contrast","تباين عالٍ","machine"
"ui.reduce_motion","Reduce motion","تقليل الحركة","machine"
"ui.easy_read","Easy Read","قراءة سهلة","machine"
"ui.methodology","How this works","كيف يعمل هذا","machine"
"ui.back","Back","رجوع","machine"
"ui.change_place","Change place","تغيير المكان","machine"
