key,english,translation,status
"months","Jan | Feb | Mar | Apr | May | Jun | Jul | Aug | Sep | Oct | Nov | Dec","janv. | févr. | mars | avr. | mai | juin | juil. | août | sept. | oct. | nov. | déc.","machine"
"all_year","all year","toute l'année","machine"
"this_area","this area","cette zone","machine"
"el_nino","El Niño","El Niño","machine"
"la_nina","La Niña","La Niña","machine"
"neutral","neutral conditions","conditions neutres","machine"
"rain_much_wetter","much more rain than usual","beaucoup plus de pluie que d'habitude","machine"
"rain_wetter","more rain than usual","plus de pluie que d'habitude","machine"
"rain_drier","less rain than usual","moins de pluie que d'habitude","machine"
"rain_much_drier","much less rain than usual","beaucoup moins de pluie que d'habitude","machine"
"rain_near_normal","rain close to normal","une pluie proche de la normale","machine"
"rain_mixed","a mixed rain signal","un signal de pluie mitigé","machine"
"rain_drier__north_and_east_","less rain than usual in the north and east","moins de pluie que d'habitude dans le nord et l'est","machine"
"rain_wetter__north_and_east_","more rain than usual in the north and east","plus de pluie que d'habitude dans le nord et l'est","machine"
"rain_drier__south_and_west_","less rain than usual in the south and west","moins de pluie que d'habitude dans le sud et l'ouest","machine"
"temp_warmer","warmer than usual","des températures plus élevées que d'habitude","machine"
"temp_cooler","cooler than usual","des températures plus basses que d'habitude","machine"
"temp_near_normal","temperatures close to normal","des températures proches de la normale","machine"
"temp_warmer__winter___cooler__summer_","a milder winter and cooler summer","un hiver plus doux et un été plus frais","machine"
"temp_cooler__winter___warmer__summer_","a colder winter and hotter summer","un hiver plus froid et un été plus chaud","machine"
"conf_likely","likely","probable","machine"
"conf_leaning","leaning that way","possible","machine"
"conf_uncertain","uncertain","incertain","machine"
"headline","{name}: {rain} is {conf} in {season}.","{name} : en {season}, {rain} — {conf}.","machine"
"headline_neutral","{name}: no El Niño or La Niña is active right now.","{name} : ni El Niño ni La Niña n'est actif en ce moment.","machine"
"neutral_explain","Seasonal rain here will depend on other factors. Check back monthly; this page updates when conditions change.","Ici, la pluie de la saison dépendra d'autres facteurs. Revenez chaque mois ; cette page est mise à jour quand les conditions changent.","machine"
"timing_now","That season is happening now ({season}).","Cette saison a lieu en ce moment ({season}).","machine"
"timing_coming","That season starts in about {n} months ({season}).","Cette saison commence dans environ {n} mois ({season}).","machine"
"timing_passed","That season has passed for this event. The next one is {season}; by then the event may have faded.","Cette saison est déjà passée pour cet épisode. La prochaine est {season} ; d'ici là, l'épisode peut s'être affaibli.","machine"
"expect","During {phase}, {region} usually sees {rain} and {temp}.","Pendant {phase}, {region} connaît en général {rain} et {temp}.","machine"
"agreement_agree","The local rain record agrees with the known pattern, so this outlook is {conf}.","Les relevés de pluie de la région correspondent au schéma connu. Ce qui est prévu ici est donc {conf}.","machine"
"agreement_disagree","The local rain record does not clearly agree with the known pattern, so treat this as {conf}.","Les relevés de pluie de la région ne correspondent pas clairement au schéma connu. Considérez donc cela comme {conf}.","machine"
"agreement_weak","Past events here were mixed, so treat this as {conf}.","Ici, les épisodes passés ont donné des résultats variés. Considérez donc ce qui est prévu comme {conf}.","machine"
"agreement_none","There is no reliable local rain record for this season, so treat this as {conf}.","Il n'y a pas de relevé de pluie fiable ici pour cette saison. Considérez donc ce qui est prévu comme {conf}.","machine"
"history","In the last {n} strong {phase} events, {season} rain here averaged {pct}. It was wetter than normal in {wet}% of them.","Lors des {n} derniers épisodes forts ({phase}), la pluie de {season} ici était en moyenne {pct}. Elle a été plus abondante que la normale dans {wet} % des cas.","machine"
"history_recent","Most recent events: {recent}.","Épisodes les plus récents : {recent}.","machine"
"pct_above","{n}% above normal","{n} % au-dessus de la normale","machine"
"pct_below","{n}% below normal","{n} % sous la normale","machine"
"near_normal","close to normal","proche de la normale","machine"
"no_data","no data","pas de données","machine"
"status_line","Global status: {status} (issued {issued}).","Situation mondiale : {status} (bulletin publié le {issued}).","machine"
"steps_title","What to do now","Que faire maintenant","machine"
"defer","For warnings, follow {service}. This briefing is a seasonal outlook, not a warning.","Pour les alertes, suivez {service}. Ce bulletin est une prévision saisonnière, pas une alerte.","machine"
"ui.app_name","ENSO Ready","ENSO Ready","machine"
"ui.tagline","What this El Niño means for you, and what to do about it.","Ce que cet El Niño veut dire pour vous, et ce qu'il faut faire.","machine"
"ui.search_label","Where do you live?","Où habitez-vous ?","machine"
"ui.search_placeholder","Type a town or city","Écrivez le nom d'un village ou d'une ville","machine"
"ui.use_location","Use my location","Utiliser ma position","machine"
"ui.see_briefing","See my briefing","Voir mon bulletin","machine"
"ui.livelihood_q","What best describes you?","Qu'est-ce qui vous décrit le mieux ?","machine"
"ui.livelihood_farmer","I farm or keep animals","Je cultive la terre ou j'élève des animaux","machine"
"ui.livelihood_coastal","I live near the coast or a river","J'habite près de la côte ou d'une rivière","machine"
"ui.livelihood_urban","I live in a town or city","J'habite en ville","machine"
"ui.livelihood_all","Just show me everything","Montrez-moi tout","machine"
"ui.tell_more","Tell me more","En savoir plus","machine"
"ui.show_less","Show less","Afficher moins","machine"
"ui.step_of","Step {i} of {n}","Étape {i} sur {n}","machine"
"ui.why_matters","Why this matters","Pourquoi c'est important","machine"
"ui.done","Done","Terminé","machine"
"ui.next_step","Next step","Étape suivante","machine"
"ui.show_all_steps","Show all steps","Voir toutes les étapes","machine"
"ui.minutes","about {n} minutes","environ {n} minutes","machine"
"ui.what_now","What should I do right now?","Que dois-je faire maintenant ?","machine"
"ui.read_aloud","Read aloud","Lire à voix haute","machine"
"ui.radio_script","30-second radio script","Texte radio de 30 secondes","machine"
"ui.sms_text","SMS version","Version SMS","machine"
"ui.sources","Sources","Sources","machine"
"ui.updated","Data updated {date}","Données mises à jour le {date}","machine"
