key,english,translation,status
"months","Jan | Feb | Mar | Apr | May | Jun | Jul | Aug | Sep | Oct | Nov | Dec","Tháng 1 | Tháng 2 | Tháng 3 | Tháng 4 | Tháng 5 | Tháng 6 | Tháng 7 | Tháng 8 | Tháng 9 | Tháng 10 | Tháng 11 | Tháng 12","machine"
"all_year","all year","cả năm","machine"
"this_area","this area","khu vực này","machine"
"el_nino","El Niño","El Niño","machine"
"la_nina","La Niña","La Niña","machine"
"neutral","neutral conditions","trạng thái trung tính","machine"
"rain_much_wetter","much more rain than usual","mưa nhiều hơn bình thường rất nhiều","machine"
"rain_wetter","more rain than usual","mưa nhiều hơn bình thường","machine"
"rain_drier","less rain than usual","mưa ít hơn bình thường","machine"
"rain_much_drier","much less rain than usual","mưa ít hơn bình thường rất nhiều","machine"
"rain_near_normal","rain close to normal","mưa gần như bình thường","machine"
"rain_mixed","a mixed rain signal","tín hiệu mưa lẫn lộn","machine"
"rain_drier__north_and_east_","less rain than usual in the north and east","mưa ít hơn bình thường ở phía bắc và phía đông","machine"
"rain_wetter__north_and_east_","more rain than usual in the north and east","mưa nhiều hơn bình thường ở phía bắc và phía đông","machine"
"rain_drier__south_and_west_","less rain than usual in the south and west","mưa ít hơn bình thường ở phía nam và phía tây","machine"
"temp_warmer","warmer than usual","nóng hơn bình thường","machine"
"temp_cooler","cooler than usual","mát hơn bình thường","machine"
"temp_near_normal","temperatures close to normal","nhiệt độ gần như bình thường","machine"
"temp_warmer__winter___cooler__summer_","a milder winter and cooler summer","mùa đông ấm hơn và mùa hè mát hơn","machine"
"temp_cooler__winter___warmer__summer_","a colder winter and hotter summer","mùa đông lạnh hơn và mùa hè nóng hơn","machine"
"conf_likely","likely","nhiều khả năng xảy ra","machine"
"conf_leaning","leaning that way","hơi nghiêng theo hướng này","machine"
"conf_uncertain","uncertain","chưa chắc chắn","machine"
"headline","{name}: {rain} is {conf} in {season}.","{name}: {rain}, {conf}, vào {season}.","machine"
