key,english,translation,status
"months","Jan | Feb | Mar | Apr | May | Jun | Jul | Aug | Sep | Oct | Nov | Dec","ene | feb | mar | abr | may | jun | jul | ago | sep | oct | nov | dic","machine"
"all_year","all year","todo el año","machine"
"this_area","this area","esta zona","machine"
"el_nino","El Niño","El Niño","machine"
"la_nina","La Niña","La Niña","machine"
"neutral","neutral conditions","condiciones neutrales","machine"
"rain_much_wetter","much more rain than usual","mucha más lluvia de lo normal","machine"
"rain_wetter","more rain than usual","más lluvia de lo normal","machine"
"rain_drier","less rain than usual","menos lluvia de lo normal","machine"
"rain_much_drier","much less rain than usual","mucha menos lluvia de lo normal","machine"
"rain_near_normal","rain close to normal","lluvia cerca de lo normal","machine"
"rain_mixed","a mixed rain signal","lluvia sin tendencia clara","machine"
"rain_drier__north_and_east_","less rain than usual in the north and east","menos lluvia de lo normal en el norte y el este","machine"
"rain_wetter__north_and_east_","more rain than usual in the north and east","más lluvia de lo normal en el norte y el este","machine"
"rain_drier__south_and_west_","less rain than usual in the south and west","menos lluvia de lo normal en el sur y el oeste","machine"
"temp_warmer","warmer than usual","más calor de lo normal","machine"
"temp_cooler","cooler than usual","más frío de lo normal","machine"
"temp_near_normal","temperatures close to normal","temperaturas cerca de lo normal","machine"
"temp_warmer__winter___cooler__summer_","a milder winter and cooler summer","un invierno más templado y un verano más fresco","machine"
"temp_cooler__winter___warmer__summer_","a colder winter and hotter summer","un invierno más frío y un verano más caluroso","machine"
"conf_likely","likely","probable","machine"
"conf_leaning","leaning that way","algo probable","machine"
"conf_uncertain","uncertain","incierto","machine"
"headline","{name}: {rain} is {conf} in {season}.","{name}: en {season}, {rain}. Esto es {conf}.","machine"
"headline_neutral","{name}: no El Niño or La Niña is active right now.","{name}: ahora no hay El Niño ni La Niña.","machine"
"neutral_explain","Seasonal rain here will depend on other factors. Check back monthly; this page updates when conditions change.","La lluvia de la temporada aquí dependerá de otros factores. Vuelva a mirar cada mes; esta página se actualiza cuando cambian las condiciones.","machine"
"timing_now","That season is happening now ({season}).","Esa temporada está ocurriendo ahora ({season}).","machine"
"timing_coming","That season starts in about {n} months ({season}).","Esa temporada empieza en unos {n} meses ({season}).","machine"
"timing_passed","That season has passed for this event. The next one is {season}; by then the event may have faded.","Esa temporada ya pasó para este evento. La siguiente es {season}; para entonces el evento puede haberse debilitado.","machine"
"expect","During {phase}, {region} usually sees {rain} and {temp}.","Durante {phase}, en {region} suele haber {rain} y {temp}.","machine"
"agreement_agree","The local rain record agrees with the known pattern, so this outlook is {conf}.","El registro local de lluvia coincide con el patrón conocido, así que esto es {conf}.","machine"
"agreement_disagree","The local rain record does not clearly agree with the known pattern, so treat this as {conf}.","El registro local de lluvia no coincide claramente con el patrón conocido, así que tome esto como {conf}.","machine"
"agreement_weak","Past events here were mixed, so treat this as {conf}.","Los eventos pasados aquí dieron resultados variados, así que tome esto como {conf}.","machine"
"agreement_none","There is no reliable local rain record for this season, so treat this as {conf}.","No hay un registro local de lluvia confiable para esta temporada, así que tome esto como {conf}.","machine"
"history","In the last {n} strong {phase} events, {season} rain here averaged {pct}. It was wetter than normal in {wet}% of them.","En los últimos {n} eventos fuertes de {phase}, la lluvia de {season} aquí fue en promedio {pct}. Llovió más de lo normal en {wet}% de ellos.","machine"
"history_recent","Most recent events: {recent}.","Eventos más recientes: {recent}.","machine"
"pct_above","{n}% above normal","{n}% por encima de lo normal","machine"
"pct_below","{n}% below normal","{n}% por debajo de lo normal","machine"
"near_normal","close to normal","cerca de lo normal","machine"
"no_data","no data","sin datos","machine"
"status_line","Global status: {status} (issued {issued}).","Estado global: {status} (publicado el {issued}).","machine"
"steps_title","What to do now","Qué hacer ahora","machine"
"defer","For warnings, follow {service}. This briefing is a seasonal outlook, not a warning.","Para los avisos, siga las indicaciones de {service}. Este informe es una perspectiva de temporada, no un aviso.","machine"
"ui.app_name","ENSO Ready","ENSO Ready","machine"
"ui.tagline","What this El Niño means for you, and what to do about it.","Lo que este El Niño significa para usted y qué hacer al respecto.","machine"
"ui.search_label","Where do you live?","¿Dónde vive?","machine"
"ui.search_placeholder","Type a town or city","Escriba un pueblo o una ciudad","machine"
"ui.use_location","Use my location","Usar mi ubicación","machine"
"ui.see_briefing","See my briefing","Ver mi informe","machine"
"ui.livelihood_q","What best describes you?","¿Qué lo describe mejor?","machine"
"ui.livelihood_farmer","I farm or keep animals","Cultivo la tierra o cuido animales","machine"
"ui.livelihood_coastal","I live near the coast or a river","Vivo cerca de la costa o de un río","machine"
"ui.livelihood_urban","I live in a town or city","Vivo en un pueblo o una ciudad","machine"
"ui.livelihood_all","Just show me everything","Muéstreme todo","machine"
"ui.tell_more","Tell me more","Cuénteme más","machine"
"ui.show_less","Show less","Mostrar menos","machine"
"ui.step_of","Step {i} of {n}","Paso {i} de {n}","machine"
"ui.why_matters","Why this matters","Por qué esto importa","machine"
"ui.done","Done","Listo","machine"
"ui.next_step","Next step","Siguiente paso","machine"
"ui.show_all_steps","Show all steps","Mostrar todos los pasos","machine"
"ui.minutes","about {n} minutes","unos {n} minutos","machine"
"ui.what_now","What should I do right now?","¿Qué debo hacer ahora?","machine"
"ui.read_aloud","Read aloud","Leer en voz alta","machine"
"ui.radio_script","30-second radio script","Guion de radio de 30 segundos","machine"
"ui.sms_text","SMS version","Versión para SMS","machine"
"ui.sources","Sources","Fuentes","machine"
"ui.updated","Data updated {date}","Datos actualizados: {date}","machine"
"ui.offline_note","You are offline. Showing your last briefing from {date}.","No tiene conexión. Se muestra su último informe del {date}.","machine"
"ui.mt_banner","Machine-translated. Tap to suggest a fix.","Traducción automática. Toque para sugerir una corrección.","machine"
"ui.settings","Settings","Ajustes","machine"
"ui.text_size","Text size","Tamaño del texto","machine"
"ui.high_contrast","High contrast","Alto contraste","machine"
"ui.reduce_motion","Reduce motion","Reducir el movimiento","machine"
"ui.easy_read","Easy Read","Lectura fácil","machine"
