key,english,translation,status
"months","Jan | Feb | Mar | Apr | May | Jun | Jul | Aug | Sep | Oct | Nov | Dec","ጃን | ፌብ | ማር | አፕሪ | ሜይ | ጁን | ጁላ | ኦገ | ሴፕ | ኦክቶ | ኖቬ | ዲሴ","machine"
"all_year","all year","ዓመቱን ሙሉ","machine"
"this_area","this area","ይህ አካባቢ","machine"
"el_nino","El Niño","ኤልኒኞ","machine"
"la_nina","La Niña","ላኒኛ","machine"
"neutral","neutral conditions","ገለልተኛ ሁኔታ","machine"
"rain_much_wetter","much more rain than usual","ከተለመደው በጣም የበዛ ዝናብ","machine"
"rain_wetter","more rain than usual","ከተለመደው የበዛ ዝናብ","machine"
"rain_drier","less rain than usual","ከተለመደው ያነሰ ዝናብ","machine"
"rain_much_drier","much less rain than usual","ከተለመደው በጣም ያነሰ ዝናብ","machine"
"rain_near_normal","rain close to normal","ከመደበኛው ጋር የቀረበ ዝናብ","machine"
"rain_mixed","a mixed rain signal","የተደባለቀ የዝናብ ምልክት","machine"
"rain_drier__north_and_east_","less rain than usual in the north and east","በሰሜንና በምስራቅ ከተለመደው ያነሰ ዝናብ","machine"
"rain_wetter__north_and_east_","more rain than usual in the north and east","በሰሜንና በምስራቅ ከተለመደው የበዛ ዝናብ","machine"
"rain_drier__south_and_west_","less rain than usual in the south and west","በደቡብና በምዕራብ ከተለመደው ያነሰ ዝናብ","machine"
"temp_warmer","warmer than usual","ከተለመደው የሞቀ አየር","machine"
"temp_cooler","cooler than usual","ከተለመደው የቀዘቀዘ አየር","machine"
"temp_near_normal","temperatures close to normal","ከመደበኛው ጋር የቀረበ ሙቀት","machine"
"temp_warmer__winter___cooler__summer_","a milder winter and cooler summer","ትንሽ የሞቀ ክረምትና የቀዘቀዘ በጋ","machine"
"temp_cooler__winter___warmer__summer_","a colder winter and hotter summer","የበለጠ የቀዘቀዘ ክረምትና የበለጠ የሞቀ በጋ","machine"
"conf_likely","likely","ከፍተኛ ዕድል ያለው","machine"
"conf_leaning","leaning that way","ወደዚያ የሚያዘነብል","machine"
"conf_uncertain","uncertain","እርግጠኛ ያልሆነ","machine"
"headline","{name}: {rain} is {conf} in {season}.","{name}፡ በ{season} {rain} {conf} ነው።","machine"
"headline_neutral","{name}: no El Niño or La Niña is active right now.","{name}፡ አሁን ኤልኒኞም ላኒኛም የለም።","machine"
"neutral_explain","Seasonal rain here will depend on other factors. Check back monthly; this page updates when conditions change.","በዚህ ወቅት እዚህ የሚኖረው ዝናብ በሌሎች ነገሮች ላይ ይወሰናል። በየወሩ ተመልሰው ይመልከቱ፤ ሁኔታዎች ሲቀየሩ ይህ ገጽ ይታደሳል።","machine"
"timing_now","That season is happening now ({season}).","ያ ወቅት አሁን እየሆነ ነው ({season})።","machine"
"timing_coming","That season starts in about {n} months ({season}).","ያ ወቅት በግምት በ{n} ወራት ውስጥ ይጀምራል ({season})።","machine"
"timing_passed","That season has passed for this event. The next one is {season}; by then the event may have faded.","ያ ወቅት ለዚህ ክስተት አልፏል። ቀጣዩ ወቅት {season} ነው፤ እስከዚያ ድረስ ክስተቱ ሊዳከም ይችላል።","machine"
"expect","During {phase}, {region} usually sees {rain} and {temp}.","በ{phase} ወቅት በ{region} ብዙ ጊዜ {rain} እና {temp} ይኖራል።","machine"
"agreement_agree","The local rain record agrees with the known pattern, so this outlook is {conf}.","የአካባቢው የዝናብ መዝገብ ከሚታወቀው ልማድ ጋር ይስማማል፤ ስለዚህ ይህ ትንበያ {conf} ነው።","machine"
"agreement_disagree","The local rain record does not clearly agree with the known pattern, so treat this as {conf}.","የአካባቢው የዝናብ መዝገብ ከሚታወቀው ልማድ ጋር በግልጽ አይስማማም፤ ስለዚህ ይህን እንደ {conf} ይያዙት።","machine"
"agreement_weak","Past events here were mixed, so treat this as {conf}.","እዚህ ያለፉት ክስተቶች የተለያየ ውጤት ነበራቸው፤ ስለዚህ ይህን እንደ {conf} ይያዙት።","machine"
"agreement_none","There is no reliable local rain record for this season, so treat this as {conf}.","ለዚህ ወቅት አስተማማኝ የአካባቢ የዝናብ መዝገብ የለም፤ ስለዚህ ይህን እንደ {conf} ይያዙት።","machine"
"history","In the last {n} strong {phase} events, {season} rain here averaged {pct}. It was wetter than normal in {wet}% of them.","ባለፉት {n} ጠንካራ የ{phase} ክስተቶች እዚህ የ{season} ዝናብ በአማካይ {pct} ነበር። ከእነዚህ ውስጥ በ{wet}% ከመደበኛው የበዛ ነበር።","machine"
"history_recent","Most recent events: {recent}.","የቅርብ ጊዜ ክስተቶች፡ {recent}።","machine"
"pct_above","{n}% above normal","ከመደበኛው በ{n}% በላይ","machine"
"pct_below","{n}% below normal","ከመደበኛው በ{n}% በታች","machine"
"near_normal","close to normal","ከመደበኛው ጋር የቀረበ","machine"
"no_data","no data","መረጃ የለም","machine"
"status_line","Global status: {status} (issued {issued}).","ዓለም አቀፍ ሁኔታ፡ {status} (የወጣበት ቀን {issued})።","machine"
"steps_title","What to do now","አሁን ምን ማድረግ እንዳለብዎት","machine"
"defer","For warnings, follow {service}. This briefing is a seasonal outlook, not a warning.","ለማስጠንቀቂያዎች {service}ን ይከተሉ። ይህ መግለጫ የወቅቱ ትንበያ ነው እንጂ ማስጠንቀቂያ አይደለም።","machine"
"ui.app_name","ENSO Ready","ENSO Ready","machine"
